,emptyNet,x,y,isGoal,distanceToNet,relativeAngleToNet,season
0,0,-74.0,29.0,0,33.12099032335839,61.1134182330893,2020
0,0,49.0,-25.0,0,48.02082881417188,-10.195988247286794,2020
0,0,-52.0,-31.0,0,49.040799340956916,-39.20720350496784,2020
0,0,43.0,39.0,0,61.07372593840988,16.342882543441867,2020
0,0,-53.0,8.0,0,37.8549864614954,12.200468727380784,2020
0,0,-70.0,-3.0,0,20.223748416156685,-8.530765609948133,2020
0,0,59.0,-35.0,0,46.75467891024384,-13.21908490701659,2020
0,0,-59.0,-28.0,0,41.773197148410844,-42.08916217383224,2020
0,0,81.0,-5.0,1,10.295630140987,-1.6748379905292095,2020
0,0,32.0,0.0,0,58.0,0.0,2020
0,0,46.0,-21.0,0,48.75448697299562,-8.777817386137203,2020
0,0,85.0,15.0,0,15.811388300841896,4.899092453787765,2020
0,0,52.0,-20.0,0,42.941821107167776,-8.01709307365533,2020
0,0,63.0,-37.0,0,45.803929962395145,-13.594836334074971,2020
0,0,-35.0,-34.0,0,64.66065264130884,-31.723602957684026,2020
0,0,-64.0,-37.0,0,45.221676218380054,-54.904183212973884,2020
0,0,-69.0,-2.0,0,21.095023109728988,-5.440332031005506,2020
0,0,-58.0,37.0,0,48.91829923454004,49.1446237411043,2020
0,0,-79.0,-2.0,1,11.180339887498949,-10.304846468766033,2020
0,0,87.0,29.0,0,29.154759474226502,9.30477234064332,2020
0,0,31.0,-12.0,0,60.207972893961475,-5.663706258020569,2020
0,0,76.0,10.0,0,17.204650534085253,3.4473868518651978,2020
0,0,56.0,40.0,0,52.49761899362675,15.321510074864795,2020
0,0,-15.0,-7.0,0,75.32595834106593,-5.3321588816595575,2020
0,0,-59.0,-4.0,1,31.25699921617557,-7.3523793598923595,2020
0,0,-34.0,24.0,0,60.92618484691127,23.19859051364819,2020
0,0,-79.0,4.0,1,11.704699910719626,19.98310652189998,2020
0,0,87.0,-5.0,0,5.830951894845301,-1.6180945327374552,2020
0,0,95.0,-8.0,0,9.433981132056603,-2.4761126737087125,2020
0,0,-50.0,25.0,0,47.16990566028302,32.005383208083494,2020
0,0,-1.0,-25.0,0,92.44457799135652,-15.689992929083873,2020
0,0,-64.0,10.0,0,27.85677655436824,21.037511025421818,2020
0,0,-18.0,-33.0,0,79.20227269466452,-24.623564786163612,2020
0,0,-83.0,-18.0,0,19.313207915827967,-68.74949449286676,2020
0,0,-78.0,1.0,0,12.041594578792296,4.763641690726178,2020
0,0,-47.0,-16.0,0,45.880278987817846,-20.409882833803987,2020
0,0,14.0,31.0,0,82.0792300158816,16.598104392861046,2020
0,0,62.0,38.0,0,47.20169488482379,14.036243467926479,2020
0,0,-57.0,-36.0,0,48.83646178829912,-47.48955292199916,2020
0,0,83.0,-4.0,1,8.06225774829855,-1.3245219122911984,2020
0,0,16.0,-23.0,0,77.4919350642375,-12.242331198874437,2020
0,0,-52.0,32.0,0,49.678969393496885,40.10090754621224,2020
0,0,-43.0,-24.0,0,52.773099207835045,-27.050597007086125,2020
0,0,61.0,15.0,1,32.64965543462902,5.67302213992532,2020
0,0,49.0,30.0,0,50.80354318352215,12.179181052524134,2020
0,0,-33.0,-17.0,0,59.481089431852205,-16.606980578617005,2020
0,0,46.0,-10.0,0,45.12205669071391,-4.205357001708586,2020
0,0,-80.0,3.0,1,10.44030650891055,16.69924423399362,2020
0,0,-26.0,0.0,0,64.0,0.0,2020
0,0,85.0,7.0,0,8.602325267042627,2.2906100426385296,2020
0,0,-81.0,-1.0,0,9.055385138137417,-6.34019174590991,2020
0,0,-81.0,-1.0,1,9.055385138137417,-6.34019174590991,2020
0,0,-59.0,38.0,0,49.040799340956916,50.792796495032164,2020
0,0,-79.0,-9.0,1,14.212670403551895,-39.28940686250036,2020
0,0,70.0,9.0,0,21.93171219946131,3.2194948968528294,2020
0,0,73.0,-16.0,0,23.345235059857504,-5.606165951466592,2020
0,0,59.0,-6.0,0,31.575306807693888,-2.3059667239950272,2020
0,0,70.0,-14.0,0,24.413111231467404,-5.000644597558433,2020
0,0,63.0,19.0,0,33.015148038438355,7.0789216046122325,2020
0,0,49.0,37.0,0,55.226805085936306,14.905758523554992,2020
0,0,76.0,-1.0,0,14.035668847618199,-0.345151123164125,2020
