,emptyNet,x,y,isGoal,distanceToNet,relativeAngleToNet,season
0,0,85.0,-1.0,1,5.0990195135927845,-0.32740089084438817,2019
0,0,-32.0,-2.0,0,58.034472514187634,-1.9749340108819766,2019
0,0,63.0,-6.0,0,27.65863337187866,-2.2457425658950716,2019
0,0,-59.0,-20.0,0,36.89173349139343,-32.82854179141253,2019
0,0,-42.0,-29.0,0,56.08029957123981,-31.138972436978854,2019
0,0,-52.0,-7.0,0,38.63935817272331,-10.43747535111818,2019
0,0,-38.0,38.0,0,64.40496875241847,36.15818543980833,2019
0,0,-76.0,-14.0,0,19.79898987322333,-45.0,2019
0,0,-63.0,-31.0,0,41.10960958218893,-48.94518622903756,2019
0,0,-78.0,13.0,0,17.69180601295413,47.290610042638534,2019
0,0,-32.0,34.0,0,67.23094525588644,30.379126011368342,2019
0,0,-80.0,-4.0,0,10.770329614269007,-21.80140948635181,2019
0,0,78.0,-5.0,0,13.0,-1.7047283190072677,2019
0,0,47.0,23.0,0,48.76474136094644,9.530127832599952,2019
0,0,-64.0,24.0,0,35.38361202590826,42.70938995736147,2019
0,0,83.0,-4.0,0,8.06225774829855,-1.3245219122911984,2019
0,0,67.0,-20.0,0,30.479501308256342,-7.259724046259812,2019
0,0,47.0,-36.0,0,56.08029957123981,-14.722975061750223,2019
0,0,56.0,28.0,0,44.04543109109048,10.856413348062246,2019
0,0,-45.0,-41.0,0,60.876925020897694,-42.33699923393286,2019
0,0,50.0,22.0,0,45.65084884205331,8.930590100418996,2019
0,0,-41.0,-34.0,0,59.64059020499378,-34.75591255354137,2019
0,0,-62.0,-19.0,0,33.83784863137726,-34.15969454566943,2019
0,0,67.0,-36.0,0,42.720018726587654,-12.914632042320997,2019
0,0,43.0,32.0,0,56.859475903318,13.528315466372696,2019
0,0,30.0,-16.0,0,62.0966987850401,-7.594643368591445,2019
0,0,81.0,-1.0,0,9.055385138137417,-0.33505921860912397,2019
0,0,-31.0,30.0,0,66.18912297349165,26.952178931228943,2019
0,0,56.0,-23.0,0,41.048751503547585,-8.95247333415416,2019
0,0,86.0,0.0,1,4.0,0.0,2019
0,0,43.0,9.0,0,47.853944456021594,3.87125623198563,2019
0,0,37.0,-31.0,0,61.40032573203501,-13.717346318360326,2019
0,0,35.0,-38.0,0,66.85057965343307,-16.909271810540783,2019
0,0,45.0,21.0,0,49.658836071740545,8.841814560191672,2019
0,0,84.0,2.0,1,6.324555320336759,0.658543177563603,2019
0,0,-83.0,-6.0,1,9.219544457292887,-40.60129464500447,2019
0,0,12.0,-10.0,0,78.63841300535,-5.599339336520571,2019
0,0,83.0,5.0,1,8.602325267042627,1.6554865391193023,2019
0,0,-60.0,-24.0,0,38.41874542459709,-38.65980825409009,2019
0,0,58.0,17.0,0,36.235341863986875,6.552554670829273,2019
0,0,57.0,-22.0,0,39.66106403010388,-8.511705138424686,2019
0,0,65.0,-20.0,1,32.01562118716424,-7.3523793598923595,2019
0,0,86.0,-9.0,0,9.848857801796104,-2.9273479917408713,2019
0,0,60.0,-1.0,0,30.01666203960727,-0.3819662047290255,2019
0,0,45.0,-22.0,0,50.08991914547278,-9.255727744552216,2019
0,0,29.0,21.0,0,64.51356446515724,10.007979801441337,2019
0,0,-33.0,-25.0,0,62.24146527838174,-23.682087724538448,2019
0,0,-89.0,25.0,0,25.019992006393608,87.70938995736148,2019
0,0,-56.0,-15.0,0,37.16180835212409,-23.805943518457717,2019
0,0,-68.0,-25.0,0,33.301651610693426,-48.65222278030633,2019
0,0,-67.0,19.0,0,29.832867780352597,39.559667968994496,2019
0,0,-70.0,23.0,0,30.479501308256342,48.99091309842978,2019
0,0,-43.0,0.0,0,47.0,0.0,2019
0,0,55.0,28.0,0,44.82186966202994,10.929488002180381,2019
0,0,-62.0,11.0,0,30.083217912982647,21.44773632710535,2019
0,0,-78.0,9.0,1,15.0,36.86989764584402,2019
0,0,70.0,-38.0,0,42.941821107167776,-13.360218444764483,2019
0,0,-59.0,-21.0,0,37.44329045369811,-34.11447294534126,2019
0,0,5.0,-17.0,0,86.68333173107735,-10.145544433896337,2019
0,0,2.0,31.0,0,93.30058949438637,18.621579366487577,2019
0,0,66.0,41.0,0,47.50789408087881,14.725482755179693,2019
0,0,64.0,-10.0,0,27.85677655436824,-3.7152891054287687,2019
0,0,-62.0,-26.0,0,38.2099463490856,-42.87890360333855,2019
0,0,85.0,30.0,0,30.4138126514911,9.727578551401603,2019
0,0,72.0,2.0,1,18.110770276274835,0.7073193685442566,2019
0,0,38.0,-24.0,0,57.271284253105414,-10.619655276155134,2019
0,0,64.0,28.0,0,38.2099463490856,10.304846468766033,2019
0,0,48.0,28.0,0,50.47771785649585,11.469530332866904,2019
1,0,82.0,5.0,1,9.433981132056603,1.6651060581036772,2019
1,0,-20.0,39.0,0,80.1311425102625,29.124053494777428,2019
1,0,-44.0,-31.0,0,55.47071299343465,-33.97654403625686,2019
1,0,-35.0,23.0,0,59.61543424315552,22.69379494509236,2019
1,0,84.0,-16.0,0,17.08800749063506,-5.253802751262255,2019
1,0,58.0,23.0,1,39.408120990476064,8.833414651219002,2019
1,0,-38.0,1.0,0,52.009614495783374,1.1017061152063747,2019
1,0,92.0,-8.0,0,8.246211251235321,-2.5168756569395163,2019
1,0,-57.0,18.0,1,37.589892258425,28.61045966596522,2019
1,0,63.0,33.0,0,42.638011210655684,12.171458208587472,2019
1,0,33.0,-40.0,0,69.63476143421474,-18.014693918205243,2019
1,0,39.0,-31.0,0,59.682493245507096,-13.51253063578602,2019
1,0,-68.0,-4.0,0,22.360679774997898,-10.304846468766033,2019
1,0,-81.0,-21.0,0,22.847319317591726,-66.80140948635182,2019
1,0,72.0,2.0,0,18.110770276274835,0.7073193685442566,2019
1,0,-75.0,0.0,0,15.0,0.0,2019
1,0,-47.0,15.0,0,45.5411901469428,19.230672375661285,2019
1,0,90.0,-27.0,0,27.0,-8.530765609948133,2019
1,0,80.0,4.0,0,10.770329614269007,1.3478872801985986,2019
1,0,91.0,-27.0,0,27.018512172212592,-8.484322134970409,2019
1,0,81.0,7.0,0,11.40175425099138,2.3441324740698417,2019
1,0,85.0,-8.0,0,9.433981132056603,-2.6174133632644336,2019
1,0,38.0,-21.0,1,56.08029957123981,-9.317086069126223,2019
1,0,52.0,34.0,0,50.99019513592785,13.465208094811707,2019
1,0,41.0,27.0,0,55.94640292279746,11.64597424848322,2019
1,0,44.0,-20.0,0,50.15974481593781,-8.488943880504717,2019
1,0,87.0,-10.0,0,10.44030650891055,-3.2336121248878653,2019
1,0,65.0,3.0,0,25.179356624028344,1.1088121277599294,2019
1,0,78.0,12.0,0,16.97056274847714,4.085616779974877,2019
1,0,72.0,17.0,0,24.758836806279895,5.9905947179247905,2019
1,0,87.0,-11.0,0,11.40175425099138,-3.5561810942551175,2019
1,0,-82.0,18.0,0,19.697715603592208,66.03751102542182,2019
1,0,-80.0,0.0,0,10.0,0.0,2019
1,0,-60.0,-17.0,0,34.48187929913333,-29.538782259558097,2019
1,0,-34.0,39.0,0,68.24221567329127,34.85445556610366,2019
1,0,67.0,-13.0,0,26.419689627245813,-4.733438330575483,2019
1,0,-78.0,3.0,0,12.36931687685298,14.036243467926479,2019
1,0,-40.0,-1.0,0,50.00999900019995,-1.1457628381751033,2019
1,0,-65.0,24.0,0,34.655446902326915,43.830860672092584,2019
1,0,-94.0,-14.0,0,14.560219778561036,-105.94539590092286,2019
1,0,-39.0,4.0,0,51.15662224971465,4.484606009544626,2019
1,0,83.0,3.0,0,7.615773105863909,0.9934688562825819,2019
1,0,-81.0,-5.0,0,10.295630140987,-29.054604099077146,2019
1,0,-87.0,12.0,0,12.36931687685298,75.96375653207353,2019
1,0,-36.0,-17.0,0,56.61271941887264,-17.47477425625567,2019
1,0,-52.0,25.0,0,45.48626166217664,33.340707346477004,2019
1,0,81.0,-18.0,0,20.12461179749811,-6.009005957494525,2019
1,0,-77.0,-35.0,0,37.33630940518894,-69.62356478616361,2019
1,0,-58.0,28.0,0,42.5205832509386,41.18592516570965,2019
1,0,-68.0,34.0,0,40.496913462633174,57.094757077012105,2019
1,0,77.0,1.0,0,13.038404810405298,0.34308439952352937,2019
1,0,-44.0,0.0,0,46.0,0.0,2019
1,0,48.0,3.0,0,42.1070065428546,1.2453642667683475,2019
1,0,58.0,-19.0,0,37.21558813185679,-7.31552530439626,2019
1,0,49.0,-12.0,0,42.720018726587654,-4.934164340560066,2019
1,0,64.0,15.0,1,30.01666203960727,5.563208820743998,2019
2,0,-73.0,24.0,0,29.410882339705484,54.68878656036681,2019
2,0,52.0,-38.0,0,53.74011537017761,-14.981632572390918,2019
2,0,-76.0,-32.0,0,34.92849839314596,-66.37062226934319,2019
2,0,31.0,32.0,0,67.11929677819934,14.81346411880467,2019
2,0,80.0,-6.0,1,11.661903789690601,-2.0213649403560154,2019
2,0,-85.0,1.0,0,5.0990195135927845,11.309932474020213,2019
2,0,30.0,31.0,0,67.53517601961218,14.484733560322967,2019
2,0,78.0,5.0,0,13.0,1.7047283190072677,2019
2,0,89.0,-19.0,0,19.026297590440446,-6.058987723978338,2019
2,0,-44.0,-40.0,0,60.959002616512684,-41.00908690157022,2019
2,0,-78.0,23.0,0,25.942243542145693,62.447188423282206,2019
2,0,73.0,11.0,0,20.248456731316587,3.8607326248832723,2019
2,0,41.0,0.0,0,49.0,0.0,2019
2,0,-37.0,41.0,0,67.00746227100382,37.72499504211075,2019
2,0,-80.0,25.0,0,26.92582403567252,68.19859051364818,2019
2,0,-48.0,-1.0,0,42.01190307520001,-1.3639275316029187,2019
2,0,-53.0,-32.0,0,48.91829923454004,-40.85537625889571,2019
2,0,-37.0,-38.0,0,65.21502894272147,-35.639809198086674,2019
2,0,-55.0,-17.0,0,38.91015291668744,-25.906507999514385,2019
2,0,-74.0,8.0,0,17.88854381999832,26.56505117707799,2019
2,0,-80.0,23.0,0,25.079872407968907,66.5014343240479,2019
2,0,-74.0,18.0,0,24.08318915758459,48.366460663429805,2019
2,0,-43.0,-13.0,0,48.76474136094644,-15.461217740441903,2019
2,0,-35.0,26.0,0,60.83584469702052,25.301378625419723,2019
2,0,74.0,0.0,0,16.0,0.0,2019
2,0,33.0,-29.0,0,63.953107821277925,-13.26648084658371,2019
2,0,84.0,-3.0,0,6.708203932499369,-0.98776039963981,2019
2,0,16.0,1.0,0,74.00675644831355,0.5405101871306666,2019
2,0,36.0,-6.0,1,54.3323108288245,-2.7263109939062655,2019
2,0,-93.0,12.0,0,12.36931687685298,104.03624346792648,2019
2,0,-78.0,1.0,0,12.041594578792296,4.763641690726178,2019
2,0,72.0,2.0,0,18.110770276274835,0.7073193685442566,2019
2,0,75.0,2.0,0,15.132745950421556,0.6944602875497745,2019
2,0,55.0,20.0,0,40.311288741492746,7.853313301978219,2019
2,0,-76.0,-19.0,0,23.600847442411894,-53.615648184164115,2019
2,0,-52.0,20.0,0,42.941821107167776,27.758540601060023,2019
2,0,78.0,4.0,0,12.649110640673518,1.3639275316029187,2019
2,0,-70.0,-26.0,0,32.802438933713454,-52.43140797117251,2019
2,0,-70.0,5.0,0,20.615528128088304,14.036243467926479,2019
2,0,4.0,-33.0,0,92.11405973031478,-19.34432927212115,2019
2,0,-66.0,-2.0,0,24.08318915758459,-4.763641690726178,2019
2,0,47.0,-20.0,0,47.4236228055175,-8.305676205556,2019
2,0,-51.0,-25.0,0,46.32493928760188,-32.66091272167381,2019
2,0,-79.0,35.0,0,36.68787265568828,72.5528115767178,2019
2,0,-72.0,-4.0,1,18.439088914585774,-12.528807709151511,2019
2,0,-52.0,31.0,0,49.040799340956916,39.20720350496784,2019
2,0,76.0,16.0,1,21.2602916254693,5.505477857978346,2019
2,0,33.0,32.0,0,65.36818798161687,14.582942329484077,2019
2,0,15.0,-18.0,0,77.12976079309465,-9.727578551401603,2019
2,0,-82.0,15.0,0,17.0,61.92751306414704,2019
2,0,59.0,-9.0,0,32.28002478313795,-3.4566191720419943,2019
2,0,82.0,4.0,1,8.94427190999916,1.3322198538696388,2019
2,0,-60.0,-20.0,0,36.05551275463989,-33.690067525979785,2019
2,0,-86.0,-6.0,0,7.211102550927978,-56.309932474020215,2019
2,0,-58.0,-29.0,0,43.18564576337837,-42.18444331578877,2019
3,0,87.0,7.0,0,7.615773105863909,2.2647545482234266,2019
3,0,-66.0,-12.0,1,26.832815729997478,-26.56505117707799,2019
3,0,-77.0,14.0,0,19.1049731745428,47.12109639666146,2019
3,0,-79.0,-3.0,1,11.40175425099138,-15.255118703057777,2019
3,0,-77.0,-1.0,0,13.038404810405298,-4.398705354995532,2019
3,0,69.0,20.0,0,29.0,7.169362918616782,2019
3,0,-58.0,-24.0,0,40.0,-36.86989764584402,2019
3,0,-73.0,-19.0,0,25.495097567963924,-48.179830119864235,2019
3,0,76.0,1.0,0,14.035668847618199,0.345151123164125,2019
3,0,-54.0,28.0,0,45.60701700396552,37.874983651098205,2019
3,0,-65.0,12.0,0,27.730849247724095,25.641005824305285,2019
3,0,-80.0,8.0,0,12.806248474865697,38.65980825409009,2019
3,0,65.0,23.0,1,33.97057550292606,8.440365275506633,2019
3,0,-54.0,-29.0,0,46.22769732530488,-38.853374340353334,2019
3,0,-59.0,-25.0,0,39.824615503479755,-38.884496433714595,2019
3,0,32.0,16.0,0,60.166435825965294,7.471559176592376,2019
3,0,-53.0,29.0,0,47.01063709417264,38.08877288097532,2019
3,0,54.0,-24.0,0,43.266615305567875,-9.462322208025617,2019
3,0,52.0,-30.0,0,48.41487374764082,-11.92932217723833,2019
3,0,-2.0,22.0,0,90.70832376358854,14.036243467926479,2019
3,0,-65.0,27.0,0,36.796738985948195,47.202598161765806,2019
3,0,80.0,10.0,1,14.142135623730951,3.3664606634298013,2019
3,0,33.0,17.0,0,59.481089431852205,7.869075551790507,2019
3,0,32.0,-13.0,0,59.43904440685432,-6.082336693282049,2019
3,0,37.0,-22.0,0,57.38466694161429,-9.827724011163117,2019
3,0,37.0,-7.0,0,53.46026561849464,-3.154842864791977,2019
3,0,68.0,-26.0,0,34.058772731852805,-9.34467190209969,2019
3,0,-72.0,-26.0,0,31.622776601683793,-55.30484646876604,2019
3,0,83.0,0.0,0,7.0,0.0,2019
3,0,85.0,1.0,0,5.0990195135927845,0.32740089084438817,2019
3,0,-25.0,40.0,0,76.32168761236873,31.6075022462489,2019
3,0,85.0,10.0,0,11.180339887498949,3.2704879231835653,2019
3,0,78.0,-17.0,0,20.808652046684813,-5.778119069126657,2019
3,0,71.0,-15.0,0,24.20743687382041,-5.322750707768239,2019
3,0,-30.0,-1.0,0,60.00833275470999,-0.9548412538721887,2019
3,0,61.0,2.0,0,29.068883707497267,0.7588401242685469,2019
3,0,85.0,7.0,0,8.602325267042627,2.2906100426385296,2019
3,0,72.0,-15.0,0,23.430749027719962,-5.290081205371269,2019
3,0,80.0,-1.0,0,10.04987562112089,-0.3370301098578076,2019
3,0,82.0,3.0,0,8.54400374531753,0.9992436702572906,2019
3,0,42.0,-2.0,0,48.041648597857254,-0.8680514497455426,2019
3,0,49.0,-29.0,0,50.21951811795888,-11.784748506262801,2019
3,0,72.0,37.0,0,41.14608122288197,12.865397842050205,2019
3,0,37.0,-27.0,0,59.481089431852205,-12.002294898783708,2019
3,0,-86.0,-5.0,1,6.4031242374328485,-51.34019174590991,2019
3,0,52.0,-36.0,0,52.3450093132096,-14.225963898751795,2019
3,0,-47.0,-35.0,0,55.44366510251645,-39.143986414571046,2019
3,0,29.0,-39.0,0,72.40165743959182,-18.145578659481412,2019
3,0,37.0,3.0,0,53.08483775994799,1.3531919537796904,2019
3,0,-72.0,-11.0,0,21.095023109728988,-31.429565614838516,2019
3,0,-52.0,-34.0,0,50.99019513592785,-41.82016988013577,2019
3,0,43.0,5.0,0,47.265209192385896,2.152962789100461,2019
3,0,-78.0,-25.0,0,27.730849247724095,-64.35899417569472,2019
3,0,54.0,17.0,0,39.81205847478876,6.732921326859603,2019
3,0,82.0,1.0,0,8.06225774829855,0.3331112439213666,2019
3,0,62.0,-25.0,0,37.53664875824692,-9.340026172805315,2019
3,0,-84.0,5.0,0,7.810249675906654,39.80557109226519,2019
4,0,-13.0,34.0,0,84.17244204607586,23.82426058289542,2019
4,0,38.0,36.0,0,63.245553203367585,15.708637829015744,2019
4,0,-58.0,24.0,0,40.0,36.86989764584402,2019
4,0,-47.0,-26.0,0,50.24937810560445,-31.159304508344384,2019
4,0,69.0,0.0,0,21.0,0.0,2019
4,0,58.0,-31.0,1,44.553338819890925,-11.83011332616804,2019
