,0
0,0.15517682500826288
1,0.06838608876661735
2,0.10398454165022623
3,0.13381970715979222
4,0.07248717812607562
5,0.04015527658236987
6,0.030825731922224313
7,0.092444026329946
8,0.12173070075761763
9,0.05168380942482964
10,0.021521761041183897
11,0.04993851584933608
12,0.020603755398085084
13,0.032496555315367
14,0.04740288371319886
15,0.18995028462748034
16,0.17079461369707638
17,0.060387515345783974
18,0.018951967002955362
19,0.18447642103061618
20,0.13515128570223472
21,0.1464344896537839
22,0.1345423383782426
23,0.03178900472817734
24,0.18305326909313502
25,0.10398454165022623
26,0.18805982501243618
27,0.16036570642559647
28,0.07372180481335121
29,0.07321610525499178
30,0.06213149886600553
31,0.07051531658542658
32,0.11363540491267066
33,0.03259943541748664
34,0.0554633228878461
35,0.14468632738037726
36,0.09221411327560161
37,0.21540316638626902
38,0.033689909195465204
39,0.054504179848372976
40,0.17670593695796147
41,0.19431011270140033
42,0.027290957005297465
43,0.012515902510586601
44,0.20358715383505768
45,0.03343922759902614
46,0.026622564345245552
47,0.07372180481335121
48,0.09758502177744886
49,0.0957127152289789
50,0.16752547578122057
51,0.07431248347546388
52,0.045848626243610094
53,0.04993851584933608
54,0.03848024687628302
55,0.01972598205364364
56,0.1685943930561962
57,0.04909887361574976
58,0.06688968670990185
59,0.08996972770640162
60,0.11492273354638033
61,0.11431838226901829
62,0.07772738820106188
63,0.18899622196703733
64,0.201904358203575
65,0.008652430927192352
66,0.1116341294877496
67,0.19292700692508122
68,0.21106855905603594
69,0.1710194254665648
70,0.021921621220646354
71,0.05946069889170581
72,0.20858318462499645
73,0.1345423383782426
74,0.06442528928515419
75,0.05494368442590415
76,0.15962210967360418
77,0.19537400774627794
78,0.05634627919439278
79,0.07725994920576564
80,0.060387515345783974
81,0.20358715383505768
82,0.16207430845675003
83,0.06922514587155949
84,0.14526338385481632
85,0.09267496446434091
86,0.08187724165781313
87,0.037344678760947984
88,0.08421767444388617
